"layer","LAI","SPAD","GR","RD","RE","NI","ndvi","ndre","gndvi","evi"
"U1_01",3.96,40.46666667,0.0981637573242188,0.0484530639648438,0.365736694335937,0.554556884765625,0.837845166923218,0.204125130283637,0.697707179493078,1.14024433520308
"U1_02",2.87,34.13333333,0.091121826171875,0.0428060913085938,0.341878356933594,0.496709594726563,0.839573468747151,0.184150581463689,0.688674712321767,1.06043159530733
"U1_03",2.29,27.4,0.0997628784179688,0.0529000854492188,0.3356103515625,0.4468359375,0.781310936129617,0.139545356029094,0.630318670286954,0.970050500885375
"U1_04",5.33,44.03333333,0.0785165405273437,0.038585205078125,0.296587829589844,0.503192138671875,0.8537042376627,0.255608507514917,0.725755268661922,1.00825715618586
"U1_05",2.35,40.46666667,0.0986297607421875,0.0483233642578125,0.359988708496094,0.548524475097656,0.837169455998238,0.206869175788231,0.694217785986357,1.1374758206042
"U1_06",1.59,36.2,0.10312255859375,0.0484457397460938,0.3768994140625,0.563291625976562,0.841142697885289,0.197865334349385,0.689979268391587,1.19120701059305
"U1_07",3.82,38.63333333,0.0772430419921875,0.0379189231178977,0.2890869140625,0.461707652698864,0.848267949223244,0.230370215462013,0.713443853141933,0.955043149751301
"U1_08",2.06,36.66666667,0.0869884144176136,0.0424233176491477,0.330642145330256,0.516207885742187,0.847826454104174,0.219023067017973,0.711300135672674,1.05923184896094
"U1_09",4.98,36.63333333,0.0842892456054687,0.04158935546875,0.31313232421875,0.484459228515625,0.83999317407724,0.213220427940286,0.701322996716701,1.00308487560347
"U1_10",2.99,37.23333333,0.0990219116210938,0.0481036376953125,0.354942626953125,0.557941284179687,0.839749499329189,0.221878818901942,0.697382037755496,1.15363112449075
"U1_11",3.62,31.9,0.106484680175781,0.0509661865234375,0.397899169921875,0.635286560058594,0.851264481966558,0.229450293101316,0.712388849947695,1.27755703083298
"U1_12",2.22,34,0.10941650390625,0.0533575439453125,0.40281005859375,0.618219299316406,0.840124368999747,0.210373003643303,0.69836567184007,1.26284077526999
"U1_13",3.1,43.06666667,0.122803955078125,0.0585623168945313,0.411659240722656,0.608950805664062,0.824345573217894,0.193553314550025,0.664466386855758,1.32622372699726
"U1_14",3.61,44.33333333,0.11601318359375,0.0577774047851562,0.4121337890625,0.654615783691406,0.837212904014261,0.227191924557234,0.698292359406097,1.31798378912015
"U1_15",3.8,40.5,0.0896630859375,0.0427749633789063,0.33001220703125,0.551378173828125,0.855698707255213,0.251643547480728,0.71987385476052,1.11921269460905
"U1_16",2.89,44.53333333,0.0764434814453125,0.0370565795898437,0.29341796875,0.49459716796875,0.859419280250364,0.255250866821725,0.731322753322342,0.999429588451135
"U1_17",3.31,44.36666667,0.0914108276367187,0.0422332763671875,0.353065795898438,0.598033142089844,0.867905662656975,0.257747336247723,0.734787530479533,1.19224278074397
"U1_18",2.28,48.03333333,0.0967926025390625,0.0523944091796875,0.34473876953125,0.549125061035156,0.819657316486245,0.225767178692785,0.695136125604748,1.09102618185566
